Price,Timestamp,Type,Amount_Toman,Volume_USDT,Exchange
164749,1770368308,BUY,71234.744600174,0.4323834718279,nobitex
164400,1770369933,BUY,71067.894600174,0.43228646350471,nobitex
164400,1770370002,BUY,70997.288600174,0.43185698661907,nobitex
